"Check last 100 debug log records","Check last 100 debug log records"
"Check last 100 error log records","Check last 100 error log records"
"Run Self-test","Run Self-test"
"Check for latest versions","Check for latest versions"
"Please select","Please select"
Day(s),Day(s)
Week(s),Week(s)
Month(s),Month(s)
Times,Times
Infinite,Infinite
Enabled,Enabled
Disabled,Disabled
"Log is empty","Log is empty"
"Unable to cancel subscription: %1","Unable to cancel subscription: %1"
"Subscription with ID ""%1"" has been cancelled","Subscription with ID ""%1"" has been cancelled"
"No id provided","No id provided"
"Please check the Mollie logs for more information","Please check the Mollie logs for more information"
"Unable to cancel subscription","Unable to cancel subscription"
"My Subscriptions","My Subscriptions"
"We are unable to restart the subscription","We are unable to restart the subscription"
"Unable to change the price for subscription ""%1""","Unable to change the price for subscription ""%1"""
"Subscription ""%1"" canceled, deleted database record with ID ""%2""","Subscription ""%1"" canceled, deleted database record with ID ""%2"""
"Updated subscription ""%1"" to price ""%2""","Updated subscription ""%1"" to price ""%2"""
"Use Config Settings","Use Config Settings"
"Cron settings can't be saved","Cron settings can't be saved"
"Could not save the subscriptionToProduct: %1","Could not save the subscriptionToProduct: %1"
"subscription_to_product with id ""%1"" does not exist.","subscription_to_product with id ""%1"" does not exist."
"Subscription for customer %1 and product %2 not found","Subscription for customer %1 and product %2 not found"
"Could not delete the subscription_to_product: %1","Could not delete the subscription_to_product: %1"
"Please select a subscription before adding the product to your cart.","Please select a subscription before adding the product to your cart."
"You already have a subscription to this product.","You already have a subscription to this product."
"Exception while adding the subscription buttons:","Exception while adding the subscription buttons:"
"You already have a subscription to ""%1"". This product has been removed from your cart.","You already have a subscription to ""%1"". This product has been removed from your cart."
"Subscription with ID ""%1"" is not active anymore, deleting record with ID ""%2""","Subscription with ID ""%1"" is not active anymore, deleting record with ID ""%2"""
"Payment with ID %1 not found in any store view","Payment with ID %1 not found in any store view"
"Every day","Every day"
"Every %1 days","Every %1 days"
"Every week","Every week"
"Every %1 weeks","Every %1 weeks"
"Every month","Every month"
"Every %1 months","Every %1 months"
"Every %1 %2","Every %1 %2"
